# %ECSV 1.0
# ---
# datatype:
# - {name: PSRJ, datatype: string}
# - {name: RAJ, datatype: string}
# - {name: DECJ, datatype: string}
# - {name: POSEPOCH, datatype: float32}
# - {name: PMRA, datatype: float32}
# - {name: PMDEC, datatype: float32}
# - {name: DM, datatype: float32}
# - {name: F0, datatype: float32}
# - {name: PEPOCH, datatype: float32}
# - {name: F1, datatype: float32}
# - {name: PX, datatype: float32}
# - {name: S1400, datatype: float32}
# - {name: DIST_DM, datatype: float32}
# - {name: DIST_DM1, datatype: float32}
# - {name: TYPE, datatype: string}
# - {name: ASSOC, datatype: string}
# - {name: SURVEY, datatype: string}
# - {name: P0, datatype: float32}
# - {name: P1, datatype: float32}
# - {name: RM, datatype: float32}
# - {name: S400, datatype: float32}
# - {name: S150, datatype: float32}
# - {name: W50, datatype: float32}
# - {name: W10, datatype: float32}
# - {name: SPINDX, datatype: float32}
# - {name: FRACL, datatype: float32}
# - {name: FRACV, datatype: float32}
# - {name: FRACAV, datatype: float32}
# - {name: MAGINC, datatype: float32}
# - {name: IMPANG, datatype: float32}
# - {name: PASWING, datatype: float32}
# - {name: F2, datatype: float32}
# - {name: F3, datatype: float32}
# - {name: NGLT, datatype: float32}
# - {name: DIST_AMX, datatype: float32}
# - {name: DIST_AMN, datatype: float32}
# - {name: S300, datatype: float32}
# - {name: DMEPOCH, datatype: float32}
# - {name: EPHEM, datatype: string}
# - {name: CLK, datatype: string}
# - {name: PSRB, datatype: string}
# - {name: S50, datatype: float32}
# - {name: S600, datatype: float32}
# - {name: TAU_SC, datatype: float32}
# - {name: ELONG, datatype: float32}
# - {name: ELAT, datatype: float32}
# - {name: PMELONG, datatype: float32}
# - {name: PMELAT, datatype: float32}
# - {name: BINARY, datatype: string}
# - {name: A1, datatype: float32}
# - {name: TASC, datatype: float32}
# - {name: EPS1, datatype: float32}
# - {name: EPS2, datatype: float32}
# - {name: FB0, datatype: float32}
# - {name: FB1, datatype: float32}
# - {name: FB2, datatype: float32}
# - {name: UNITS, datatype: string}
# - {name: BINCOMP, datatype: string}
# - {name: S3000, datatype: float32}
# - {name: S4000, datatype: float32}
# - {name: S800, datatype: float32}
# - {name: S2000, datatype: float32}
# - {name: S900, datatype: float32}
# - {name: S1600, datatype: float32}
# - {name: DIST_A, datatype: float32}
# - {name: ECC, datatype: float32}
# - {name: PB, datatype: float32}
# - {name: PBDOT, datatype: float32}
# - {name: OM, datatype: float32}
# - {name: OMDOT, datatype: float32}
# - {name: T0, datatype: float32}
# - {name: M2, datatype: float32}
# - {name: S350, datatype: float32}
# - {name: DM1, datatype: float32}
# - {name: DM2, datatype: float32}
# - {name: S100, datatype: float32}
# - {name: S820, datatype: float32}
# - {name: S200, datatype: float32}
# - {name: S80, datatype: float32}
# - {name: S1284, datatype: float32}
# - {name: P2, datatype: float32}
# - {name: A1DOT, datatype: float32}
# - {name: S60, datatype: float32}
# - {name: S5000, datatype: float32}
# - {name: S40, datatype: float32}
# - {name: A1_2, datatype: float32}
# - {name: PB_2, datatype: float32}
# - {name: TASC_2, datatype: float32}
# - {name: EPS1_2, datatype: float32}
# - {name: EPS2_2, datatype: float32}
# - {name: SINI, datatype: float32}
# - {name: M2_2, datatype: float32}
# - {name: MASS_Q, datatype: float32}
# - {name: S2250, datatype: float32}
# - {name: S8600, datatype: float32}
# - {name: S700, datatype: float32}
# - {name: KOM, datatype: float32}
# - {name: KIN, datatype: float32}
# - {name: STIG, datatype: float32}
# - {name: H3, datatype: float32}
# - {name: H4, datatype: float32}
# - {name: GAMMA, datatype: float32}
# - {name: S1500, datatype: float32}
# - {name: S100G, datatype: float32}
# - {name: S150G, datatype: float32}
# - {name: OM_ASC, datatype: float32}
# - {name: DM3, datatype: float32}
# - {name: A1_3, datatype: float32}
# - {name: ECC_2, datatype: float32}
# - {name: ECC_3, datatype: float32}
# - {name: PB_3, datatype: float32}
# - {name: OM_2, datatype: float32}
# - {name: OM_3, datatype: float32}
# - {name: T0_2, datatype: float32}
# - {name: T0_3, datatype: float32}
# - {name: SINI_2, datatype: float32}
# - {name: SINI_3, datatype: float32}
# - {name: M2_3, datatype: float32}
# - {name: A12DOT, datatype: float32}
# - {name: OM2DOT, datatype: float32}
# - {name: S430, datatype: float32}
# - {name: S1380, datatype: float32}
# - {name: S35, datatype: float32}
# - {name: S64, datatype: float32}
# - {name: S79, datatype: float32}
# - {name: S6000, datatype: float32}
# - {name: FB3, datatype: float32}
# - {name: FB4, datatype: float32}
# - {name: 'WARNING:', datatype: string}
# - {name: FB5, datatype: float32}
# - {name: FB6, datatype: float32}
# - {name: F4, datatype: float32}
# - {name: F5, datatype: float32}
# - {name: S8000, datatype: float32}
# - {name: S9000, datatype: float32}
# - {name: S1283, datatype: float32}
# - {name: PBDOT_2, datatype: float32}
# - {name: PBDOT_3, datatype: float32}
# - {name: DM4, datatype: float32}
# - {name: DM5, datatype: float32}
# - {name: ECCDOT, datatype: float32}
# - {name: DTHETA, datatype: float32}
# - {name: FB7, datatype: float32}
# - {name: FB8, datatype: float32}
# schema: astropy-2.0
PSRJ RAJ DECJ POSEPOCH PMRA PMDEC DM F0 PEPOCH F1 PX S1400 DIST_DM DIST_DM1 TYPE ASSOC SURVEY P0 P1 RM S400 S150 W50 W10 SPINDX FRACL FRACV FRACAV MAGINC IMPANG PASWING F2 F3 NGLT DIST_AMX DIST_AMN S300 DMEPOCH EPHEM CLK PSRB S50 S600 TAU_SC ELONG ELAT PMELONG PMELAT BINARY A1 TASC EPS1 EPS2 FB0 FB1 FB2 UNITS BINCOMP S3000 S4000 S800 S2000 S900 S1600 DIST_A ECC PB PBDOT OM OMDOT T0 M2 S350 DM1 DM2 S100 S820 S200 S80 S1284 P2 A1DOT S60 S5000 S40 A1_2 PB_2 TASC_2 EPS1_2 EPS2_2 SINI M2_2 MASS_Q S2250 S8600 S700 KOM KIN STIG H3 H4 GAMMA S1500 S100G S150G OM_ASC DM3 A1_3 ECC_2 ECC_3 PB_3 OM_2 OM_3 T0_2 T0_3 SINI_2 SINI_3 M2_3 A12DOT OM2DOT S430 S1380 S35 S64 S79 S6000 FB3 FB4 WARNING: FB5 FB6 F4 F5 S8000 S9000 S1283 PBDOT_2 PBDOT_3 DM4 DM5 ECCDOT DTHETA FB7 FB8
J1036-6559 10:36:20.04 -65:59:09.27 "" "" "" 158.36 "" 55010.0 "" "" 0.3 2.052 3.968 "" "" htru_pks 0.53350186 1.362e-15 -88.0 "" "" 9.4 16.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1036-8317 10:36:40.561 -83:17:56.02 "" "" "" 27.0927 "" 56657.0 "" "" 0.45 0.934 1.027 HE[ckr+15] GRS:4FGL_J1036.5-831 FermiAssoc 0.003408 "" 12.9 "" "" "" "" -1.1 "" "" "" "" "" "" "" "" "" "" "" "" 58765.207 "" "" "" "" "" "" "" "" "" "" BT 0.506 "" "" "" "" "" "" "" He[ckr+15] "" "" "" "" "" "" "" "" 0.335 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1038+0032 10:38:26.933 +00:32:43.6 "" "" "" 26.5 "" 53000.0 "" "" 0.102 5.558 1.175 "" "" pkshl,gbncc,fast_gpp 0.028851558 6.7e-20 14.0 "" 16.0 28.0 75.0 -2.1 0.27 0.03 0.11 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 2.5 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1038-5831 10:38:19.70 -58:31:27.18 "" "" "" 72.74 "" 47910.63 "" "" 2.3 0.917 1.914 "" "" pks1,htru_pks,pksmb 0.6619921 1.2512e-15 -31.0 "" "" 16.0 21.0 -1.3 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" B1036-58 "" 3.5 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.5 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 3.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1039-6108 10:39:36.72 -61:08:46.20 "" "" "" 488.2 "" "" "" "" "" 3.217 11.736 "" "" mmgps-l 0.2715526 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1039-6208 10:39:08.90 -62:08:18.10 "" "" "" 281.8 "" "" "" "" "" 2.499 5.806 "" "" mmgps-l 1.246563 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1041-1942 10:41:36.196 -19:42:13.61 48738.0 -1.0 14.0 33.777 0.7213092 48738.0 -4.91593e-16 "" 2.3 2.532 1.476 "" "" mol2,pks70 "" "" -22.8 28.0 "" 50.0 62.0 -2.0 "" "" "" "" "" "" 6.6e-29 "" "" "" "" "" "" "" "" B1039-19 "" 13.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 10.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1042-5521 10:42:00.4853 -55:21:05.793 57600.0 "" "" 306.5 0.8540678 57600.0 -4.89999e-15 "" 0.62 2.789 6.335 "" "" mol2,htru_pks,pks1,p "" "" 155.0 14.0 "" 25.0 38.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" B1039-55 "" "" 6.5e-05 "" "" "" "" "" "" "" "" "" "" "" "" TCB "" "" "" 5.6 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1043-6116 10:43:55.261 -61:16:50.76 55358.0 "" "" 448.91 3.46494 55358.0 -1.249169e-13 "" 1.39 3.055 9.442 "" "" pksmb,htru_pks "" "" 189.0 "" "" 4.8 12.0 -1.2 "" "" "" "" "" "" "" "" "" "" "" "" 55000.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.49 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 2.6 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1044-5737 10:44:32.8 -57:37:19.3 "" "" "" "" 7.1927495 54800.0 -2.8262e-12 "" "" "" "" NRAD[aab+22] GRS:4FGL_J1044.4-573 FermiBlind "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 2.72 1.07 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1045-0436 "" "" "" "" "" 4.8175 41.584335 57891.0 -1.36e-16 "" "" 0.329 0.315 "" "" gbncc "" "" "" "" "" 1.2 4.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" DE430 TT(BIPM) "" "" "" "" 164.71214 -11.510665 "" "" ELL1 22.252632 "" -4.53e-05 5.83e-05 "" "" "" TDB CO[spp+23] "" "" 0.67 "" "" "" "" "" 10.273646 "" "" "" 57472.188 "" 2.4 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1045-4509 "" "" 55627.0 "" "" 58.1106 133.79315 55627.0 -3.16197e-16 1.7 2.74 0.334 1.956 "" "" pks70,ghrss,htru_pks "" "" 94.43 15.0 "" 0.84 1.45 -2.04 "" "" "" "" "" "" "" "" "" 0.36 0.24 24.0 59076.4 DE436 TT(BIPM2018) "" "" 8.5 "" 186.51854 -47.71478 -7.95 0.88 T2 3.0151324 50273.508 -2.076e-05 -1.099e-05 "" "" "" TCB He[bhl+94] 0.48 "" "" "" "" "" 0.34 "" 4.0835295 "" "" "" "" "" "" "" "" "" "" "" "" "" "" -2.9e-15 "" "" "" "" "" "" "" "" "" "" "" "" "" 9.2 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1046+0304 10:46:43.23 +03:04:06.9 "" "" "" 24.98 "" 53065.0 "" "" 0.3 4.74 1.097 "" "" pkshl,gbncc 0.32627144 1.242e-16 -1.6 "" "" 3.0 14.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.2 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1046-5813 10:46:18.81 -58:13:52.0 57600.0 "" "" 240.2 2.7068868 57600.0 -8.401e-15 "" 1.37 2.34 4.366 "" "" mol2,htru_pks,pks1,p "" "" 133.0 18.0 "" 8.3 14.0 -2.19 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" B1044-57 "" "" 0.000138 "" "" "" "" "" "" "" "" "" "" "" "" TCB "" 0.24 "" 4.1 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 4.1 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1047-3032 "" "" 51019.0 "" "" 52.54 3.0272937 51019.0 -5.5909e-16 "" 1.1 2.144 2.37 "" "" pks70,gbncc "" "" -26.0 8.0 "" 20.0 43.0 "" "" "" "" "" "" "" 1.4e-26 "" "" "" "" "" "" "" "" "" "" 1.8 "" 176.82971 -34.99166 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 5.7 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1047-6709 10:47:28.282 -67:09:51.066 "" "" "" 116.156 "" 49139.0 "" "" 3.1 1.765 2.882 "" "" pks70,htru_pks,pkssw 0.19845144 1.68714e-15 -79.0 4.0 "" 1.9 11.0 -0.7 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.4 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 3.9 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1048+2339 10:48:43.418354 +23:39:53.4043 56700.0 -19.0 -9.4 16.6544 214.35478 57285.0 -1.382e-15 "" 0.175 2.002 0.704 HE[drc+21] GRS:4FGL_J1048.6+234 FermiAssoc "" "" -2.4 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.6 "" "" "" "" "" "" "" "" "" "" "" BTX 0.83612 "" "" "" 4.6200355e-05 -4.2e-18 1.4e-25 TDB MS[drc+16] "" "" 0.365 "" "" "" "" "" "" "" "" "" 56637.598 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 5.18 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1048+5349 10:48:06.46 +53:49:51.9 59216.0 "" "" 27.3 0.3661848 59216.0 -1.63e-16 "" "" 25.0 1.327 "" "" chime "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 59216.0 DE440 TT(BIPM2019) "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1048-5832 10:48:13.05 -58:32:06.2 57600.0 "" "" 128.679 8.082418 57600.0 -6.2792e-12 "" 9.1 1.79 2.729 HE[klm+00],HE[aaa+09 GRS:4FGL_J1048.2-583 pks1,FermiBlind,htru "" "" -149.4 "" "" 7.7 13.0 -0.52 "" "" "" "" "" "" 1.47e-22 "" 7.0 4.1 2.2 "" 55000.0 "" "" B1046-58 "" 14.8 "" "" "" "" "" "" "" "" "" "" "" "" "" TCB "" 6.2 "" 13.5 "" "" "" 2.9 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 12.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1048-5838 10:48:12.561 -58:38:19.02 53510.0 "" "" 70.7 "" 53510.0 "" "" "" 1.008 1.869 RRAT "" pksmb 1.2313048 1.219375e-14 "" "" "" 14.0 409.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1049+5822 10:49:37.90 +58:22:17.1 "" "" "" 12.364 1.3743478 59000.0 -7.376e-15 "" "" 1.12 0.555 "" "" tulipp "" "" 3.95 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" DE436 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" TCB "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1049-5833 10:49:50.34 -58:33:44.6 "" "" "" 446.8 0.45406556 51031.0 -9.1e-16 "" 0.7 3.004 7.637 "" "" pksmb,htru_pks "" "" 344.0 "" "" 32.0 54.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.07 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1050-5953 10:50:07.12 -59:53:21.4 "" "" "" "" 0.15498886 51650.0 -9.15e-13 "" "" "" "" AXP,NRAD XRS:1E_1048.1-5937 misc "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 2.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 9.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1051-6214 10:51:36.56 -62:14:56.50 "" "" "" 246.0 "" "" "" "" "" 2.31 4.678 "" "" mmgps-l 1.14605 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1052-5954 10:52:38.11 -59:54:44.1 "" "" "" 491.9 "" 51683.0 "" "" 0.147 3.143 8.544 "" "" pksmb 0.1805915 1.99831e-14 -270.0 "" "" 2.3 "" "" "" "" "" "" "" "" "" "" 1.0 "" "" "" 55000.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.071 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1052-6348 10:52:53.39 -63:48:16.6 "" "" "" 167.5 2.605317 52477.0 -2.63e-15 "" 0.11 1.994 3.363 "" "" pksmb "" "" "" "" "" 6.4 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1054-5943 10:54:57.75 -59:43:14.1 "" "" "" 330.7 "" 51395.0 "" "" 0.31 2.585 5.78 "" "" pksmb,htru_pks 0.34690896 4.074e-15 151.0 "" "" 2.4 6.1 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1054-5946 10:54:30.46 -59:46:31.0 "" "" "" 253.9 "" 55337.0 "" "" 0.2 2.327 4.566 "" "" htru_pks 0.22832425 2.09e-16 "" "" "" 6.7 29.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1054-6452 10:54:08.84 -64:52:37.5 "" "" "" 234.0 0.54347724 51875.0 -9.27e-16 "" 0.25 2.342 5.57 "" "" pksmb,htru_pks "" "" 115.0 "" "" 20.0 34.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1055-6022 10:55:48.5 -60:22:52 "" "" "" 590.0 1.0553439 52746.0 -1.029e-13 "" 0.2 3.597 12.495 "" "" pksmb,htru_pks "" "" "" "" "" 23.2 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
