#   1                     2                  3          4         5      6    7         8      9    10      11     12      13     14      15     16      17      18      19     20      21     22      23     24      25     26      27
# SOURCE              CEPHEID_ID             L          B        DIST  dDIST AGE      PERIOD  MODE  I1     dI1     I2     dI2     I3     dI3     I4     dI4      W1     dW1     W2     dW2     W3     dW3     W4     dW4    A_Ks   SOURCE"
#   -                     -                (deg)      (deg)      (pc)  (pc) (Myr)      (d)     -   (mag)  (mag)   (mag)  (mag)   (mag)  (mag)   (mag)  (mag)    (mag)  (mag)   (mag)  (mag)   (mag)  (mag)   (mag)  (mag)   (mag)    -
OGLE-IV            OGLE-BLG-CEP-047       1.01307    3.68211       -1     0   64    3.9657345 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
OGLE-IV            OGLE-BLG-CEP-080       1.15305   -0.92199     5022   166  255    0.3328426 1O  12.477  0.062  12.324  0.075  12.411  0.146   0.000  0.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.464  -      
GCVS               X_____Sgr              1.16628    0.20926      350    13   90    7.0130211 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    0.000  0.000   0.000  0.000   2.491  0.043   2.400  0.073   0.072  -      
OGLE-III           OGLE-BLG-CEP-019       1.16962   -2.11628     3430   110  306    0.2865322 1O  11.787  0.051  11.724  0.077  11.721  0.112  11.572  0.094   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.306  -      
OGLE-III           OGLE-BLG-CEP-020       1.20440   -2.27310     7518   326  224    0.4406742 1O  12.866  0.076  12.762  0.116  12.537  0.171   0.000  0.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.277  -      
OGLE-IV            OGLE-BLG-CEP-066       1.49232    1.73999    17634   895  126    2.9816002 1O  11.905  0.140  12.122  0.090  11.880  0.140  12.105  0.278   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.685  -      
OGLE-III           OGLE-BLG-CEP-027       1.56067   -4.30572     7417   314  269    0.2965274 1O  13.305  0.079  13.251  0.187   0.000  0.000   0.000  0.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.147  -      
GCVS               W_____Sgr              1.57578   -3.97956      412    18   85    7.5949840 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    0.000  0.000   0.000  0.000   2.675  0.081   2.667  0.066   0.024  -      
OGLE-IV            OGLE-BLG-CEP-044       1.73682    4.38241       -1     0  240    0.5829363 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
ASAS               J175258-2736.1         1.97820   -0.70002     1309    32  107    4.8224613 F    0.000  0.000   0.000  0.000   5.946  0.026   5.927  0.024    5.786  0.176   5.818  0.070   5.959  0.026   5.729  0.149   0.171  -      
OGLE-IV            OGLE-BLG-CEP-076       2.03608    0.10207     3184    70   66   10.3209261 F    7.301  0.055   7.168  0.054   7.130  0.055   7.133  0.052    7.209  0.165   7.254  0.056   7.322  0.072   6.165  0.226   1.056  -      
OGLE-III           OGLE-BLG-CEP-021       2.10745   -1.87113    13081   633  262    0.7785541 F   13.661  0.132  13.604  0.130   0.000  0.000   0.000  0.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.351  -      
OGLE-IV            OGLE-BLG-CEP-068       2.15543    1.67911       -1     0  327    0.3716836 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
OGLE-IV            OGLE-BLG-CEP-074       2.32318    0.80838    17226   753  142    3.3794859 F   12.564  0.082  12.391  0.098  12.164  0.165   0.000  0.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.960  -      
OGLE-III           OGLE-BLG-CEP-029       2.43825   -4.14423       -1     0  114    2.3760846 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
OGLE-IV            OGLE-BLG-CEP-094       2.45691   -1.72783       -1     0  330    0.3678108 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
OGLE-IV            OGLE-BLG-CEP-072       2.68930    1.43651     9920   442  213    0.4918163 1O  13.392  0.100  13.299  0.148   0.000  0.000   0.000  0.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.507  -      
GCVS               V767__Sgr              2.69415   -0.14902     1601    39  245    0.6703187 1O   8.861  0.057   8.757  0.061   8.753  0.049   8.691  0.045    8.542  0.087   8.612  0.059   8.281  0.155   0.000  0.000   0.187  -      
GCVS               V773__Sgr              2.85322   -0.52700     1480    38   96    5.7483564 F    0.000  0.000   0.000  0.000   6.000  0.040   5.996  0.041    5.979  0.198   5.882  0.061   6.100  0.033   6.019  0.156   0.325  -      
OGLE-IV            OGLE-BLG-CEP-091       3.11136   -1.12969    13209   387   47   19.4385184 F    9.900  0.058   9.915  0.063   9.717  0.057   9.648  0.070   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   1.950  -      
OGLE-IV            OGLE-BLG-CEP-070       3.29347    2.04078       -1     0  145    1.2101512 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
OGLE-IV            OGLE-BLG-CEP-067       3.58965    2.99334    20431   660  163    2.6107091 1O  12.362  0.050  12.429  0.078  12.241  0.127  12.443  0.129   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.343  -      
OGLE-IV            OGLE-BLG-CEP-092       3.70636   -0.78884       -1     0   56    6.8131847 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
ASAS-SN            J180520.08-265854.0    3.88312   -2.77481     7536   235  127    1.5136369 1O  11.008  0.046  11.011  0.067  10.873  0.061  10.789  0.047   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.202  -      
GCVS               V2744_Oph              4.12746    3.71881     1354    40   97    3.7797056 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    5.856  0.094   5.761  0.078   5.905  0.024   5.805  0.108   0.226  -      
OGLE-IV            OGLE-BLG-CEP-073       4.26016    2.18427    22316  1688  228    2.2670656 F   13.249  0.104  13.456  0.147   0.000  0.000   0.000  0.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.434  -      
OGLE-III           OGLE-BLG-CEP-003       4.34633    2.88716       -1     0  177    1.2357274 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
OGLE-III           OGLE-BLG-CEP-002       4.56861    4.84939       -1     0  127    2.0255716 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
OGLE-IV            OGLE-BLG-CEP-079       4.61665    1.21080    15217   628   50   18.4782769 F    9.727  0.055   0.000  0.000   9.540  0.057   0.000  0.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.756  -      
ASAS               J162326-0941.0         4.84083   26.82556     1734    51  166    1.3782385 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    7.796  0.044   7.819  0.044   7.772  0.054   0.000  0.000   0.082  -      
OGLE-IV            OGLE-BLG-CEP-069       4.99518    3.36056       -1     0   72    3.3322414 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
OGLE-IV            OGLE-BLG-CEP-131       5.01607   -0.43169     4520    95   64   10.2139882 F    8.102  0.061   7.984  0.058   7.868  0.060   7.878  0.052    8.086  0.084   7.942  0.096   7.713  0.083   6.006  0.204   1.050  -      
ASAS-SN            J172747.66-202656.1    5.03207    7.95097       -1     0   54   18.1268871 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   10.175  0.081   8.902  0.084   5.594  0.041   4.117  0.062   0.000  -      
ATLAS              J249.6223-12.1248      5.12449   22.40488    30850  1814  271    2.4041768 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   13.764  0.139  13.719  0.179   0.000  0.000   0.000  0.000   0.144  -      
OGLE-IV            OGLE-BLG-CEP-084       5.21915    1.24051    16668   750  141    3.3030806 F   12.376  0.090  12.348  0.100  12.013  0.250  11.804  0.266   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.809  -      
OGLE-IV            OGLE-BLG-CEP-064       5.24512    4.60876       -1     0  223    0.6488717 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
GCVS               V1828_Sgr              5.28401   -4.10021    16825   941   64   12.9751466 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   10.010  0.059  10.171  0.089  10.302  0.256   0.000  0.000   0.208  OGLE   
OGLE-III           OGLE-BLG-CEP-030       5.37804   -3.15782       -1     0  456    0.2303703 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
OGLE-III           OGLE-BLG-CEP-005       5.38304    2.33700    23081   774  169    3.7955932 F   12.645  0.064  12.532  0.077  12.662  0.191  12.447  0.279   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.319  -      
OGLE-IV            OGLE-BLG-CEP-083       5.55578    1.55830       -1     0  186    0.8414396 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
OGLE-IV            OGLE-BLG-CEP-077       5.68484    2.07527    22576   898  174    3.5196948 F   12.748  0.079  12.645  0.110   0.000  0.000   0.000  0.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.410  -      
OGLE-III           OGLE-BLG-CEP-007       5.72683    2.34122    19902  1028  259    1.5455007 F   13.642  0.127  13.520  0.147   0.000  0.000   0.000  0.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.382  -      
OGLE-IV            OGLE-BLG-CEP-089       5.89965    0.73182    18336   507   91    7.6669119 F   11.554  0.056  11.550  0.079  11.392  0.089  11.373  0.099   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   1.167  -      
OGLE-IV            OGLE-BLG-CEP-097       5.99265   -3.16505     4624   476  213    0.4928135 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   11.406  0.131  11.738  0.122   0.000  0.000   0.000  0.000   0.362  -      
OGLE-IV            OGLE-BLG-CEP-135       6.04339   -0.63957    17897   943   83    5.9672433 1O  12.033  0.065  11.972  0.090  12.023  0.213   0.000  0.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   2.574  -      
OGLE-IV            OGLE-BLG-CEP-087       6.08694    1.31701    18754   605  165    2.2217459 1O  12.622  0.059  12.524  0.087  12.429  0.257   0.000  0.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.616  -      
OGLE-IV            OGLE-BLG-CEP-071       6.28869    3.85637     8954   892  144    1.1533927 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   11.612  0.099  11.939  0.107   0.000  0.000   0.000  0.000   0.340  GAIA   
OGLE-IV            OGLE-BLG-CEP-093       6.41471    0.75614    15875   811  127    3.7335328 F   12.453  0.167  12.166  0.130  12.074  0.145   0.000  0.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   1.230  -      
OGLE-IV            OGLE-BLG-CEP-085       6.56137    1.91912    19670  1687  242    1.3953964 1O  13.408  0.105  13.031  0.127   0.000  0.000   0.000  0.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.394  -      
OGLE-IV            OGLE-BLG-CEP-136       6.81890   -0.48779     4777   148   57   12.9576076 F    8.004  0.092   0.000  0.000   7.701  0.072   7.835  0.067    7.750  0.109   7.707  0.099   7.996  0.124   0.000  0.000   1.267  -      
OGLE-III           OGLE-BLG-CEP-032       6.89273   -3.89402       -1     0   84    3.7364303 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
ASAS-SN            J174254.58-201143.3    7.14539    5.08508    13274  1096  160    2.0100530 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   12.201  0.172  12.326  0.249   0.000  0.000   0.000  0.000   0.275  -      
OGLE-IV            OGLE-BLG-CEP-100       7.24943   -4.29262       -1     0  442    0.2408093 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
OGLE-IV            OGLE-BLG-CEP-137       7.40303   -0.50690     3473    69   77    4.7995644 1O   7.754  0.041   7.699  0.047   7.590  0.040   7.581  0.031    7.763  0.042   7.622  0.035   7.717  0.097   6.266  0.300   0.513  -      
OGLE-IV            OGLE-BLG-CEP-086       7.50040    2.20228    19015  1443  166    2.2583773 1O  12.843  0.080  12.698  0.097  12.097  0.175   0.000  0.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.852  -      
OGLE-IV            OGLE-BLG-CEP-081       7.52476    2.79066    20580   848  115    5.9565842 F   11.849  0.075  11.813  0.096  11.504  0.113  11.657  0.119   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.423  -      
GCVS               AV____Sgr              7.53352   -0.59362     2156    85   55   15.4117020 F    0.000  0.000   0.000  0.000   5.344  0.064   5.288  0.064    5.397  0.179   5.466  0.124   5.626  0.059   5.786  0.131   0.318  -      
OGLE-IV            OGLE-BLG-CEP-134       7.65438    0.44193     6122   128   83    6.2995340 F    9.221  0.052   9.246  0.054   9.153  0.055   9.124  0.067    9.211  0.067   9.184  0.067   0.000  0.000   0.000  0.000   0.767  -      
OGLE-IV            OGLE-BLG-CEP-088       7.77711    2.29486    21074   861  201    2.1049928 1O  12.870  0.064  12.863  0.107  12.575  0.225   0.000  0.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.487  -      
GCVS               V5738_Sgr              7.88550   -0.09899     2407    94   31   42.6213675 F    0.000  0.000   0.000  0.000   4.252  0.085   4.208  0.044   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.359  -      
GCVS               AP____Sgr              8.11418   -2.43779      809    22  106    5.0580832 F    0.000  0.000   0.000  0.000   4.795  0.072   4.770  0.067    4.769  0.096   4.685  0.112   4.858  0.068   4.838  0.071   0.112  -      
OGLE-IV            OGLE-BLG-CEP-096       8.11982    1.36721    22380  1062  246    2.0450868 F   13.714  0.116  13.638  0.143   0.000  0.000   0.000  0.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.840  -      
OGLE-IV            OGLE-BLG-CEP-099       8.30221   -3.18155       -1     0   38   12.2746392 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  GAIA   
OGLE-IV            OGLE-BLG-CEP-139       8.35907   -0.05653     3618   102   54   14.5497274 F    7.079  0.073   6.825  0.071   6.718  0.070   6.714  0.065    7.006  0.085   6.912  0.098   7.071  0.084   6.153  0.454   0.845  -      
ASAS-SN            J183439.28-250924.0    8.58279   -7.75263       -1     0  213    0.9419782 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
ATLAS              J268.4127-20.0239      8.58919    3.00811    19314  1213   50   21.6139574 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    9.812  0.204   9.815  0.171   9.691  0.208   0.000  0.000   0.435  -      
GCVS               V1996_Sgr              8.64909   -6.69142       -1     0   54   18.1391417 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    8.683  0.141   7.654  0.108   4.473  0.049   2.744  0.071   0.000  -      
OGLE-IV            OGLE-BLG-CEP-090       8.65024    2.20213       -1     0  111    2.4796213 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
OGLE-IV            OGLE-BLG-CEP-129       8.88255    2.69229       -1     0   85    3.7217816 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
OGLE-IV            OGLE-BLG-CEP-138       9.47597    0.65351    10077   222   45   19.7986203 F    9.066  0.056   9.038  0.065   8.890  0.053   8.840  0.066    9.050  0.056   8.996  0.085   8.979  0.132   0.000  0.000   1.422  -      
OGLE-IV            OGLE-BLG-CEP-130       9.62192    2.43354    18131   785  150    3.3257788 F   12.405  0.100  12.449  0.135  12.342  0.198   0.000  0.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.619  -      
ASAS               J181024-2049.6         9.83110   -0.79813     3679   167   41   24.4055122 F    0.000  0.000   0.000  0.000   6.130  0.047   6.041  0.044    5.387  0.432   5.451  0.199   5.907  0.053   0.000  0.000   0.502  -      
OGLE-IV            OGLE-BLG-CEP-132       9.88126    2.18775    19736   866  211    2.1471988 F   13.526  0.108  13.384  0.122   0.000  0.000   0.000  0.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   1.085  -      
GCVS               VY____Sgr             10.12583   -1.08458     2349    88   58   13.5578422 F    0.000  0.000   0.000  0.000   5.776  0.124   5.658  0.136    5.696  0.178   5.773  0.180   5.900  0.056   6.573  0.283   0.301  -      
ASAS               J181215-2029.1        10.33782   -1.01249     1774    41   96    3.6671368 1O   7.021  0.072   6.525  0.052   6.496  0.037   6.481  0.029    5.921  0.456   6.466  0.043   6.442  0.058   5.983  0.139   0.243  -      
GCVS               V1954_Sgr             10.56745   -1.73954     2347    58   90    6.1791567 F    0.000  0.000   6.946  0.066   6.856  0.063   6.807  0.056    6.654  0.250   6.898  0.061   6.900  0.065   6.524  0.307   0.261  -      
ASAS-SN            J172007.96-122045.3   10.96907   13.87363    18460   800  141    3.6856692 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   12.041  0.099  12.018  0.085   0.000  0.000   0.000  0.000   0.155  -      
OGLE-IV            OGLE-BLG-CEP-140      11.07869    0.74121     2799    83   60   12.7743629 F    0.000  0.000   0.000  0.000   6.399  0.071   6.376  0.068    5.944  0.680   6.283  0.070   6.342  0.057   5.619  0.159   0.524  -      
OGLE-IV            OGLE-BLG-CEP-143      11.21875    0.60479     9607   329   77    7.2014123 F    0.000  0.000   0.000  0.000  10.176  0.070  10.097  0.075   10.184  0.089  10.017  0.080   8.256  0.192   3.805  0.249   1.118  -      
ASAS-SN            J180946.70-182238.2   11.90357    0.51127     1863    46   83    7.2896902 F    0.000  0.000   0.000  0.000   6.195  0.045   6.158  0.040    5.926  0.113   6.096  0.065   6.182  0.038   5.669  0.134   0.302  -      
GCVS               WZ____Sgr             12.10901   -1.32326     1783    78   45   21.8532997 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    4.373  0.118   4.176  0.180   4.521  0.072   4.407  0.078   0.139  -      
GCVS               Y_____Sgr             12.78927   -2.13593      524    21  100    5.7733830 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    0.000  0.000   3.130  0.544   3.623  0.058   3.603  0.061   0.078  -      
GCVS               V5567_Sgr             13.11423   -1.88510     2143    81   70    9.7631575 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    5.740  0.364   5.933  0.173   6.085  0.034   5.961  0.128   0.292  -      
OGLE-IV            OGLE-BLG-CEP-149      13.23464   -0.20047     2801    97   60   12.5180009 F    0.000  0.000   0.000  0.000   6.162  0.084   6.198  0.077    6.147  0.157   6.114  0.073   6.381  0.067   0.000  0.000   0.163  ASAS-SN
GCVS               AY____Sgr             13.25637   -2.40733     1718    54   89    6.5696422 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    6.078  0.105   5.975  0.104   6.102  0.045   5.996  0.163   0.154  -      
OGLE-IV            OGLE-BLG-CEP-155      13.59253   -0.56575     3214    72   75    8.2672388 F    7.466  0.075   7.368  0.068   7.304  0.058   7.309  0.054    7.219  0.095   7.155  0.088   7.427  0.059   0.000  0.000   0.704  -      
OGLE-IV            OGLE-BLG-CEP-144      13.69844    1.72052    16484   704   57   15.8859945 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   10.066  0.065  10.065  0.060  10.097  0.325   0.000  0.000   0.799  -      
GCVS               U_____Sgr             13.70630   -4.45962      653    33   91    6.7452260 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    0.000  0.000   3.625  0.150   3.949  0.054   3.854  0.076   0.068  -      
GCVS               V350__Sgr             13.75848   -7.95845      911    29  105    5.1542221 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    5.052  0.118   4.888  0.131   4.991  0.041   4.919  0.069   0.061  -      
OGLE-IV            OGLE-BLG-CEP-147      13.90814    0.64592     4390    90   76    7.5325283 F    8.320  0.052   8.283  0.056   8.185  0.052   8.163  0.050    8.338  0.058   8.306  0.045   8.344  0.079   5.906  0.225   0.845  -      
GCVS               V536__Ser             14.25081    1.33100     2452    92   73    9.0097606 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    6.284  0.115   6.403  0.045   6.478  0.042   6.461  0.206   0.216  -      
OGLE-IV            OGLE-BLG-CEP-150      14.35262    0.34341     3463    78   64    7.1805087 1O   7.244  0.054   7.072  0.045   7.040  0.037   6.973  0.045    7.127  0.048   7.100  0.035   7.359  0.071   0.000  0.000   0.504  ATLAS  
GCVS               BB____Sgr             14.66859   -9.00719      807    28   91    6.6360805 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    4.454  0.103   4.204  0.112   4.425  0.057   4.329  0.065   0.108  -      
GCVS               XX____Sgr             14.98764   -1.87677     1362    58   91    6.4243335 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    5.558  0.114   5.389  0.081   5.627  0.049   5.706  0.109   0.128  -      
OGLE-IV            OGLE-BLG-CEP-145      15.22084    1.65652       -1     0  107    2.6288004 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
OGLE-IV            OGLE-BLG-CEP-156      15.25615    0.28013     3210    68   67   10.2347493 F    7.023  0.073   6.973  0.073   6.894  0.066   6.860  0.063    6.704  0.165   6.890  0.053   6.977  0.055   6.285  0.224   0.445  -      
